year,date,time,speakers,title,abstract,type,tags,slides,video,audio
2020,2020-10-19,9:00 - 10:15,Jessie Loyer (Mount Royal University),The (sometimes false) promise of technology in Indigenous language revitalization,"Indigenous languages are dying and technology can save them: true or false? Several big projects have emerged that follow this precise rhetoric: language apps, translation guides, VR tours. But what if Indigenous language revitalization is about waking up languages rather than saving them? What role does technology play if we shift how we consider language loss away from extinction, toward a more complex, messy relationship? We’ll discuss a number of language projects using technology tools for reclamation, including a recent project using Blackfoot language in augmented reality wayfinding at Mount Royal University, and consider how people working in these areas choose to embrace and reject technologies.",keynote,,https://drive.google.com/file/d/1DSVja0DQyoDWx2Rq6Y2QThrpI21rEuXk/view?usp=sharing,https://www.youtube.com/watch?v=Asqx7-iRlE4&t=1302s,
2020,2020-10-19,10:30 - 10:50,Scott Young (Montana State University),What is the right thing to do? Looking at LIS practice through the lens of professional ethics,"This presentation aims to spark insights and conversation about the ethics of LIS professional practice. I will discuss eight sites of ethical tension using professional ethics as a framework of analysis, helping conference attendees identify and navigate ethical conflicts found in the everyday work of libraries and information.",talk,,https://drive.google.com/file/d/10CSSXsnHB3VKc0Ysq7N1Df2oxCM2Y5E7/view?usp=sharing,"https://drive.google.com/file/d/1Pa9AwhHAXR-vKAAXqTpzYcFg0IMZSKEY/view?usp=sharing , https://www.youtube.com/watch?v=Asqx7-iRlE4&t=6681s",
2020,2020-10-19,10:55 - 11:15,Dhanushka Samarakoon (University of Miami),Emerging technologies in libraries and its ethical implications,"Emerging technologies such as artificial intelligence and data mining can enhance services and provide a better user experience for its patrons. At the same time, there are multiple privacy and ethical concerns with these technologies. The presentation will focus on the privacy and ethical concerns and the role of libraries in it.",talk,,,https://www.youtube.com/watch?v=Asqx7-iRlE4&t=8263s,
2020,2020-10-19,11:20 - 11:40,Shelley Gullikson (Carleton University),"Web librarians who do UX: We’re sad, so very, very sad",Interview research with UX workers in academic libraries found that web folks are not doing so well compared to other UX workers. This session will present relevant findings in the hopes of encouraging people in similar situations to find ways to improve things. How can we make web jobs better?,talk,,https://drive.google.com/file/d/17b3Pw5aOE3G6oXytE7fSW6316ONReFKD/view?usp=sharing,"https://drive.google.com/file/d/1mj4WQwxCvBbZ-6y0M9tdsJXX8AmeXgUe/view?usp=sharing , https://www.youtube.com/live/Asqx7-iRlE4?feature=shared&t=9711",
2020,2020-10-19,11:45 - 12:45,Jordan Hale (University of Waterloo) | Max Bowman (Colby College) | Gillian Byrne (Toronto Public Library) | Dustin McMurphy (University of Toronto) | Mike Campbell (University of North Carolina at Chapel Hill),Logistics: The technologies and people that manage our stuff,"While digital technologies have transformed the acquisition and management of library spaces and collections, considerable labour goes into the operational logistics of maintaining these spaces for people and materials. This panel considers the knowledge, work, and perspectives that those in library logistics bring to our work as service providers, and will provide an opportunity for reflection on the complexity of library reopenings during the COVID-19 crisis.",panel,,,https://www.youtube.com/live/Asqx7-iRlE4?feature=shared&t=11147,
2020,2020-10-20,8:50 - 9:00,John Durno (University of Victoria),A multiplayer voxel game world as virtual conference space,This lightning talk will describe the configuration of a 3D multiplayer gaming platform for use as a virtual space for a library technology conference.,lightning,,https://drive.google.com/file/d/109BlpLG4zxFIZTvYqPguavdEb5spyTJy/view?usp=sharing,https://www.youtube.com/live/4wEl2saJJ7s?feature=shared&t=487,
2020,2020-10-20,9:00 - 9:10,David Kemper (McMaster University),Web usability testing under quarantine: Using video-conferencing to conduct remote usability testing,"Web usability testing is an important part of website management. Interviewing library website users, asking them to accomplish web-related tasks while they narrate their actions is a useful method to collect user feedback. But what happens when a pandemic forces students, staff, and faculty alike to socially distance themselves? Can website usability testing still proceed?",lightning,,,https://www.youtube.com/live/4wEl2saJJ7s?si=kd2BrRQSmEm6y5PG&t=1059,
2020,2020-10-20,9:10 - 9:20,William Wueppelmann (Canadian Research Knowledge Network),Modernizing the digital preservation platform,"An overview of the evolution of an early digital access and preservation system from a custom application to an extensible, community-focused platform for preserving, curating and accessing digitized and born digital content.",lightning,,,https://www.youtube.com/live/4wEl2saJJ7s?si=8EGbVuKdUkmjC4fd&t=1765,
2020,2020-10-20,9:20 - 9:40,Tiffany Chan (University of Victoria) | Matt Huculak (University of Victoria) | Braydon Justice (University of Victoria) | Samantha MacFarlane (University of Victoria),The long view in digital exhibit design and preservation,"Using Spotlight and Samvera–and by bringing together librarians from across units, programmers, and staff–we’ve developed a successful system that has allowed University of Victoria Libraries to become an important partner in faculty/student research dissemination and long-term preservation. Our presentation explores ways for other libraries to freely adapt our code & methodologies.",talk,,,https://www.youtube.com/live/4wEl2saJJ7s?si=ghdGmew4oD050c4T&t=2328,
2020,2020-10-20,9:45 - 10:05,Erin Wolfe (University of Kansas),Documenting a crisis: Capturing a web archive of a local community’s response to the COVID-19 pandemic,"In March 2020, University of Kansas Libraries began capturing the local response to the COVID-19 pandemic, using Archive-It to crawl well over 1,000 seed URLs. This presentation will discuss our process, along with custom or open-source tools for web scraping, Twitter harvesting, reporting, visualization, data-mining, and more.",talk,,,https://www.youtube.com/live/4wEl2saJJ7s?si=vPyNPoG4zLIIM6l3&t=3662,
2020,2020-10-20,10:10 - 10:30,Peter Binkley (University of Alberta),Extending Wax: Full-featured IIIF in a static website,"How to publish rich IIIF presentations of books or scrapbooks using the Wax exhibit framework with extensions, on platforms such as GitHub Pages. The basic Wax model is extended with IIIF-driven annotations, tables of contents, and dynamic story-telling elements making use of the physical elements of the scrapbook pages.",talk,,,https://www.youtube.com/live/4wEl2saJJ7s?si=nSL0kZ6UKzW-MU-U&t=4823,
