year,date,time,speakers,title,abstract,type,tags,slides,video,audio
2021,2021-10-18,9:50 - 10:25,Anson Parker (University of Virginia),IPFS – minting NFTs and improving Data Science,"IPFS, The Interplanetary File System, eliminates duplicated files by design. The uniqueness of files facilitates several exciting opportunities for libraries and other digital ecosystems. NFTs – Non-Fungible Tokens – are a blockchain construct that allow the assertion of ownership and value to digital objects. Come see how they relate.",lightning,,,https://www.youtube.com/live/7cDe6CSXViQ?feature=shared&t=5820,
2021,2021-10-18,9:50 - 10:25,Dhanushka Samarakoon (University of Miami Libraries),Equipment Management Optimizations for Library Technology,"This lightning talk will introduce the new IT Asset Management System implemented at the University of Miami Libraries. The Library Technology team moved away from a file-based IT asset tracking system to a more structured online asset management system. We will demonstrate asset categorization, inventory management, and asset tracking, using the new system.",lightning,,,https://www.youtube.com/live/7cDe6CSXViQ?feature=shared&t=6351,
2021,2021-10-18,9:50 - 10:25,David Kemper (McMaster University),Safe Library Spaces During Covid-19: Using occupancy sensors to monitor occupancy levels in an academic library,"With students returning to campus, the library will be a busy hub once again. Access to campus buildings, however, will be governed by public health orders, which will likely include limited occupancy for indoor spaces. How will libraries monitor building occupancy levels to ensure everyone’s safety? Can occupancy sensors be the solution?",lightning,,,https://www.youtube.com/live/7cDe6CSXViQ?feature=shared&t=6930,
2021,2021-10-18,10:25 - 10:45,Carolyn Pecoskie (McGill University),Can We Automate This? Exploring Automation and Programming Opportunities in Electronic Resources Collection Management,"The speaker is new to a role in e-resources, and excited to learn how aspects of her work might be automated. This presentation will identify the key skills and tools that enable e-resource automation; present examples of automation projects; as well as potential limitations, barriers and next steps.",talk,,,https://www.youtube.com/live/7cDe6CSXViQ?feature=shared&t=7829,
2021,2021-10-18,10:45 - 11:05,Arran Griffith (LYRASIS),All Aboard for Fedora 6.0: Staying on track to deliver for our Community,"This presentation will showcase how an open-source program released a major software update, managed an IMLS grant-funded project, and supported their community over the past year. We will focus on achieving goals, re-evaluating past processes, and discuss how the community-led development process, coupled with the grant-work, helped us achieve success.",talk,,,https://www.youtube.com/live/7cDe6CSXViQ?feature=shared&t=9136,
2021,2021-10-18,11:05 - 11:25,John Durno (University of Victoria Libraries),Augmenting accessibility for web emulations of 1980s digital artifacts,"This talk describes a project to add descriptive text, language translation, and mobile accessibility to web emulations of interactive digital artifacts from the 1980s, using the js-dos API to Em-DOSBox.",talk,,,https://www.youtube.com/live/7cDe6CSXViQ?feature=shared&t=10387,
2021,2021-10-18,11:25 - 11:45,Anson Parker (University of Virginia),Wayfinding and accessibility review – from iOS LIDAR to OpenStreetMap to tactile maps – the best affordable tools of 2021,"Our library is in a hospital. Wayfinding for people who use wheelchairs, or who are blind or vision impaired, represents an opportunity to explore new technologies in our effort to communicate the value of our space to the public. A review several approaches as well as candid community feedback.",talk,,,https://www.youtube.com/live/7cDe6CSXViQ?feature=shared&t=11587,
2021,2021-10-18,12:00 - 12:30,Dr. Jonathan Dewar,A First Nations data governance strategy,,keynote,,,https://www.youtube.com/live/7cDe6CSXViQ?feature=shared&t=13760,
2021,2021-10-18,12:30 - 1:15,Dr. Tahu Kukutai,All of our relations: Māori data sovereignty in Aotearoa New Zealand,,keynote,,,https://www.youtube.com/live/7cDe6CSXViQ?feature=shared&t=15485,
2021,2021-10-19,8:50 - 9:00,Thilani Samarakoon (University of Miami Libraries),Virtual Instruction Delivery – Workshops and Consultations,The Data Services unit at the University of Miami Libraries conducts workshops on data analysis and visualization. The COVID-19 concerns forced us to move the workshops online. How did we minimize the distractions for the students while keeping them engaged? I will talk about tips for successfully conducting workshops via Zoom.,lightning,,,https://www.youtube.com/live/5uu3S8WnGX4?feature=shared&t=1689,
